810 80
2 18 67
2 18 70
2 18 72
2 18 81
2 18 84
2 18 90
2 18 99
2 18 102
2 19 20
2 19 40
2 19 60
2 19 61
2 19 62
2 19 63
2 19 66
2 19 69
2 19 72
2 19 75
2 19 78
2 19 90
2 19 93
2 19 96
2 20 39
2 20 59
2 20 83
2 20 86
2 20 89
2 20 101
2 20 104
2 20 107
2 20 110
2 20 113
2 20 116
2 20 117
2 20 118
2 20 119
2 21 38
2 21 58
2 21 77
2 21 80
2 21 88
2 21 95
2 21 98
2 21 106
2 21 110
2 21 113
2 21 114
2 21 115
2 21 116
2 21 119
2 22 37
2 22 57
2 22 74
2 22 79
2 22 85
2 22 92
2 22 97
2 22 103
2 22 110
2 22 111
2 22 112
2 22 113
2 22 116
2 22 119
2 23 36
2 23 56
2 23 73
2 23 76
2 23 82
2 23 91
2 23 94
2 23 100
2 23 108
2 23 109
2 23 110
2 23 113
2 23 116
2 23 119
2 24 35
2 24 55
2 24 68
2 24 71
2 24 87
2 24 95
2 24 98
2 24 101
2 24 104
2 24 105
2 24 106
2 24 107
2 24 115
2 24 118
2 25 34
2 25 54
2 25 65
2 25 70
2 25 84
2 25 92
2 25 97
2 25 101
2 25 102
2 25 103
2 25 104
2 25 107
2 25 112
2 25 118
2 26 33
2 26 53
2 26 64
2 26 67
2 26 81
2 26 91
2 26 94
2 26 99
2 26 100
2 26 101
2 26 104
2 26 107
2 26 109
2 26 118
2 27 32
2 27 52
2 27 62
2 27 69
2 27 78
2 27 92
2 27 95
2 27 96
2 27 97
2 27 98
2 27 103
2 27 106
2 27 112
2 27 115
2 28 31
2 28 51
2 28 61
2 28 66
2 28 75
2 28 91
2 28 93
2 28 94
2 28 95
2 28 98
2 28 100
2 28 106
2 28 109
2 28 115
2 29 30
2 29 50
2 29 60
2 29 63
2 29 72
2 29 90
2 29 91
2 29 92
2 29 94
2 29 97
2 29 100
2 29 103
2 29 109
2 29 112
2 30 49
2 30 68
2 30 71
2 30 77
2 30 80
2 30 83
2 30 86
2 30 87
2 30 88
2 30 89
2 30 105
2 30 114
2 30 117
2 31 48
2 31 65
2 31 70
2 31 74
2 31 79
2 31 83
2 31 84
2 31 85
2 31 86
2 31 89
2 31 102
2 31 111
2 31 117
2 32 47
2 32 64
2 32 67
2 32 73
2 32 76
2 32 81
2 32 82
2 32 83
2 32 86
2 32 89
2 32 99
2 32 108
2 32 117
2 33 46
2 33 62
2 33 69
2 33 74
2 33 77
2 33 78
2 33 79
2 33 80
2 33 85
2 33 88
2 33 96
2 33 111
2 33 114
2 34 45
2 34 61
2 34 66
2 34 73
2 34 75
2 34 76
2 34 77
2 34 80
2 34 82
2 34 88
2 34 93
2 34 108
2 34 114
2 35 44
2 35 60
2 35 63
2 35 72
2 35 73
2 35 74
2 35 76
2 35 79
2 35 82
2 35 85
2 35 90
2 35 108
2 35 111
2 36 43
2 36 62
2 36 65
2 36 68
2 36 69
2 36 70
2 36 71
2 36 78
2 36 84
2 36 87
2 36 96
2 36 102
2 36 105
2 37 42
2 37 61
2 37 64
2 37 66
2 37 67
2 37 68
2 37 71
2 37 75
2 37 81
2 37 87
2 37 93
2 37 99
2 37 105
2 38 41
2 38 60
2 38 63
2 38 64
2 38 65
2 38 67
2 38 70
2 38 72
2 38 81
2 38 84
2 38 90
2 38 99
2 38 102
2 39 40
2 39 60
2 39 61
2 39 62
2 39 63
2 39 66
2 39 69
2 39 72
2 39 75
2 39 78
2 39 90
2 39 93
2 39 96
2 40 59
2 40 83
2 40 86
2 40 89
2 40 101
2 40 104
2 40 107
2 40 110
2 40 113
2 40 116
2 40 117
2 40 118
2 40 119
2 41 58
2 41 77
2 41 80
2 41 88
2 41 95
2 41 98
2 41 106
2 41 110
2 41 113
2 41 114
2 41 115
2 41 116
2 41 119
2 42 57
2 42 74
2 42 79
2 42 85
2 42 92
2 42 97
2 42 103
2 42 110
2 42 111
2 42 112
2 42 113
2 42 116
2 42 119
2 43 56
2 43 73
2 43 76
2 43 82
2 43 91
2 43 94
2 43 100
2 43 108
2 43 109
2 43 110
2 43 113
2 43 116
2 43 119
2 44 55
2 44 68
2 44 71
2 44 87
2 44 95
2 44 98
2 44 101
2 44 104
2 44 105
2 44 106
2 44 107
2 44 115
2 44 118
2 45 54
2 45 65
2 45 70
2 45 84
2 45 92
2 45 97
2 45 101
2 45 102
2 45 103
2 45 104
2 45 107
2 45 112
2 45 118
2 46 53
2 46 64
2 46 67
2 46 81
2 46 91
2 46 94
2 46 99
2 46 100
2 46 101
2 46 104
2 46 107
2 46 109
2 46 118
2 47 52
2 47 62
2 47 69
2 47 78
2 47 92
2 47 95
2 47 96
2 47 97
2 47 98
2 47 103
2 47 106
2 47 112
2 47 115
2 48 51
2 48 61
2 48 66
2 48 75
2 48 91
2 48 93
2 48 94
2 48 95
2 48 98
2 48 100
2 48 106
2 48 109
2 48 115
2 49 50
2 49 60
2 49 63
2 49 72
2 49 90
2 49 91
2 49 92
2 49 94
2 49 97
2 49 100
2 49 103
2 49 109
2 49 112
2 50 68
2 50 71
2 50 77
2 50 80
2 50 83
2 50 86
2 50 87
2 50 88
2 50 89
2 50 105
2 50 114
2 50 117
2 51 65
2 51 70
2 51 74
2 51 79
2 51 83
2 51 84
2 51 85
2 51 86
2 51 89
2 51 102
2 51 111
2 51 117
2 52 64
2 52 67
2 52 73
2 52 76
2 52 81
2 52 82
2 52 83
2 52 86
2 52 89
2 52 99
2 52 108
2 52 117
2 53 62
2 53 69
2 53 74
2 53 77
2 53 78
2 53 79
2 53 80
2 53 85
2 53 88
2 53 96
2 53 111
2 53 114
2 54 61
2 54 66
2 54 73
2 54 75
2 54 76
2 54 77
2 54 80
2 54 82
2 54 88
2 54 93
2 54 108
2 54 114
2 55 60
2 55 63
2 55 72
2 55 73
2 55 74
2 55 76
2 55 79
2 55 82
2 55 85
2 55 90
2 55 108
2 55 111
2 56 62
2 56 65
2 56 68
2 56 69
2 56 70
2 56 71
2 56 78
2 56 84
2 56 87
2 56 96
2 56 102
2 56 105
2 57 61
2 57 64
2 57 66
2 57 67
2 57 68
2 57 71
2 57 75
2 57 81
2 57 87
2 57 93
2 57 99
2 57 105
2 58 60
2 58 63
2 58 64
2 58 65
2 58 67
2 58 70
2 58 72
2 58 81
2 58 84
2 58 90
2 58 99
2 58 102
2 59 60
2 59 61
2 59 62
2 59 63
2 59 66
2 59 69
2 59 72
2 59 75
2 59 78
2 59 90
2 59 93
2 59 96
